"id","country","useable","black","silver","gray","white","maroon","red","purple","fuchsia","green","lime","olive","yellow","navy","blue","teal","aqua","hue","saturation","value","textArea","nonTextArea","maxLevel","averageLevel","numOfLeaves","numOf1stLevelNodes","numOf2ndLevelNodes","numOf3rdLevelNodes","percentageOfLeafArea","percentageOfLeafArea2","numOfTextGroup","numOfImageArea","colorfulness1","colorfulness2","colorNumQuadTreeLeaves","intensityNumQuadTreeLeaves","colorHorizontalSymmetry","colorVerticalSymmetry","colorHorizontalBalance","colorVerticalBalance","intensityHorizontalSymmetry","intensityVerticalSymmetry","intensityHorizontalBalance","intensityVerticalBalance","colorEquilibrium","intensityEquilibrium","colorfulnessScore","complexityScore"
"3","reader",1,6.10351571594947e-06,0.0160636901855469,0.00108642573468387,0.936978161334991,7.09533705958165e-05,1.29699710669229e-05,2.97546393994708e-05,0,6.10351571594947e-06,0,8.4686282207258e-05,1.06811521618511e-05,6.4086911152117e-05,0.000376129144569859,7.7056887676008e-05,0.000843811023514718,4.44720001220703,2.97889251708984,249.447494506836,148849,8562,7,5.13513513513514,37,1,2,6,12.0095062255859,16.0170741882638,8,4,13.9133360207777,5.89796645685084,4,2191,1,1,NA,NA,0.900083923339844,0.766758728027344,0.392190826472137,0.165267202113974,0,0.9298828125,2.10549369202325,3.38070769828959
"5","reader",1,0.0091705322265625,0.983639538288116,0.005767822265625,0.978776574134827,0.0112495422363281,0,0.00492477416992188,0,0.00905380211770535,0,0.00441284198313951,3.05175785797474e-06,0.0112220766022801,0.00208816537633538,0.00460968026891351,0.002220916794613,3.07098236083984,2.24866790771484,251.990447998047,77360,13193,7,4.96774193548387,31,1,2,6,6.90864562988281,9.38614276000464,7,5,13.7594001270258,4.25083311815124,4,1414,1,1,NA,NA,0.902340698242188,0.808837890625,0.563577803126887,0.30705712480823,0,0.8869140625,2.38241951653547,2.55025472620148
"8","reader",1,6.10351571594947e-06,0.0127670289948583,0.000827026378829032,0.962152123451233,2.36511223192792e-05,6.10351571594947e-06,9.15527380129788e-06,0,9.15527380129788e-06,0,2.74658195849042e-05,3.05175785797474e-06,1.67846683325479e-05,0.000572967517655343,4.88281257275958e-05,0.00128555297851562,3.47979431152344,2.50868988037109,251.24365234375,103897,5937,7,4.70967741935484,31,1,2,6,8.37966918945312,11.713002954005,7,3,13.8008946672133,5.11095227288584,4,1690,1,1,NA,NA,0.873500061035156,0.849827575683594,0.627701794353703,0.195708018394207,0,0.878125,2.15168212834145,2.70993780989696
"9","reader",1,2.28881845032447e-06,0.0169631950557232,0.000975036644376814,0.937777698040009,1.29699710669229e-05,1.75476070580771e-05,7.62939453125e-06,0,2.28881845032447e-06,0,1.60217277880292e-05,3.05175785797474e-06,1.52587890625e-05,0.000266265880782157,2.44140628637979e-05,0.000601196312345564,4.43049697875977,2.95949096679688,249.542098236084,146076,7642,7,4.94444444444444,36,1,2,6,11.7277526855469,15.3089719789982,10,3,13.468281653565,5.71348058361942,4,2301,1,1,NA,NA,0.910252380371094,0.729234313964844,0.33292311632142,0.230846348670325,0,0.9236328125,2.04745218606913,3.38264374508301
"10","reader",1,4.57763690064894e-06,0.015295410528779,0.000927734363358468,0.953362286090851,3.96728501073085e-05,1.60217277880292e-05,1.52587890625e-05,0,7.62939453125e-06,0,3.50952141161542e-05,5.34057608092553e-06,3.4332275390625e-05,0.000217437744140625,0.000154113775352016,0.000540161156095564,4.15819320678711,2.81518096923828,250.205199432373,138947,5666,7,4.43333333333333,30,1,2,6,11.0330963134766,14.6867116504105,4,4,13.1590204939612,5.89568570197165,4,2315,1,1,NA,NA,0.909657287597656,0.771806335449219,0.333525041295232,0.457181176528758,0,0.891015625,2.15898783490255,3.00095637746751
"16","reader",1,0.022406006231904,0.95646208524704,0.0179069526493549,0.941712200641632,0.0324844345450401,0,0.0170356743037701,0,0.0264923088252544,0,0.0149253848940134,3.4332275390625e-05,0.0328681953251362,0.000182342526386492,0.0151748657226562,0.000238037115195766,7.64165115356445,4.5932991027832,246.123770904541,245694,1525,5,4.73529411764706,34,1,2,6,18.8613128662109,24.7394155061784,11,0,15.4061699339212,6.47299988012289,4,4109,1,1,NA,NA,0.881489562988281,0.670906066894531,0.186245426059673,0.213800654479246,0,0.91484375,1.91712162823091,4.40464551004096
"19","reader",1,0.0223976131528616,0.962223052978516,0.0142807010561228,0.952330768108368,0.0294631961733103,0,0.0115608219057322,0,0.0239456184208393,0,0.00976867694407701,9.91821252682712e-06,0.0300872810184956,0.000287628179648891,0.0103546138852835,0.000328826892655343,6.30105056762695,4.21650009155273,247.633574676514,227007,985,6,5.26666666666667,30,1,2,6,17.3944091796875,23.1733099152722,7,0,15.1627210177859,7.10124146114404,4,3397,1,1,NA,NA,0.919723510742188,0.690777587890625,0.2239594603435,0.136943715553307,0,0.900390625,1.9661417861888,3.95092514903378
"22","reader",1,0.0281074531376362,0.950525641441345,0.0188186652958393,0.937298595905304,0.0371314994990826,0,0.0149452211335301,0,0.0298728942871094,0,0.0128608699887991,2.05993655981729e-05,0.0378616340458393,0.00167312624398619,0.0134735107421875,0.00264511117711663,9.0074462890625,6.16980590820313,245.592989349365,300094,13923,6,5.17948717948718,39,1,2,6,23.9575958251953,31.1349358694704,6,1,19.6563272703899,8.39560664653463,752,4575,0.964242553710937,0.878530883789063,0.184838237982087,0.340090418550386,0.89884033203125,0.6970947265625,0.16113038599384,0.222526663131224,0.892578125,0.9037109375,2.25815753412455,4.9603411344196
"30","reader",1,2.05993655981729e-05,0.02703857421875,0.00144577026367188,0.915039837360382,0.00017547607421875,2.6702880859375e-05,0.000108337400888558,0,1.83105476025958e-05,0,0.000195312502910383,3.814697265625e-06,0.000127410894492641,0.0001373291015625,0.000177764886757359,0.000284576410194859,7.68899307250977,5.14248886108398,246.217167663574,270295,4583,5,4.75675675675676,37,1,2,6,20.9715270996094,27.3564888535032,7,1,16.7462330480618,8.24221481172495,178,3901,0.9718017578125,0.971673583984375,1,1,0.85870361328125,0.636978149414062,0.326243288948725,0.322303186638954,0.5625,0.9048828125,1.83528230010887,4.57855633189123
"31","reader",1,1.06811521618511e-05,0.0255134589970112,0.001532745314762,0.916893005371094,0.000140380856464617,2.13623043237021e-05,6.7901608417742e-05,0,2.21252448682208e-05,0,0.000134277346660383,6.10351571594947e-06,0.00011444091796875,0.000135040289023891,0.000159454342792742,0.000280761712929234,7.03813629150391,4.61062393188477,246.767158508301,241530,5559,6,4.90243902439024,41,1,2,6,18.8513946533203,24.5908638535032,6,2,15.7813614880206,7.71967396492608,722,3619,0.948457336425781,0.891569519042969,0.543192155693088,0.660562537402753,0.817984008789063,0.754458618164062,0.435334887322019,0.123466337502417,0.8697265625,0.933984375,2.12710284986636,4.26424407682575
